invoice_id,po_id,vendor,description,date,amount,status
INV-2024-0001,PO-2024-0001,Oscar Equipment,Equipment maintenance,2024-03-20,2674.83,Approved
INV-2024-0002,PO-2024-0002,Delta Supply Co,Utilities payment,2024-01-30,1614.98,Approved
INV-2024-0003,PO-2024-0003,Mike Construction,Construction materials,2024-03-06,5119.61,Approved
INV-2024-0004,PO-2024-0004,Acme Corporation,Software licensing fees,2024-01-14,816.33,Approved
INV-2024-0005,PO-2024-0005,Golf Solutions,Marketing services,2024-02-10,1208.76,Approved
INV-2024-0006,PO-2024-0006,Papa Materials,Construction materials,2024-02-14,835.8,Approved
INV-2024-0007,PO-2024-0007,Papa Materials,Equipment maintenance,2024-02-15,613.03,Approved
INV-2024-0008,PO-2024-0008,Foxtrot Industries,Equipment maintenance,2024-03-17,402.58,Approved
INV-2024-0009,PO-2024-0009,India Manufacturing,Construction materials,2024-02-08,959.35,Approved
INV-2024-0010,PO-2024-0010,India Manufacturing,Utilities payment,2024-02-11,602.87,Approved
INV-2024-0011,PO-2024-0011,Kilo Logistics,Legal consulting fees,2024-01-22,508.11,Approved
INV-2024-0012,PO-2024-0012,Foxtrot Industries,Equipment maintenance,2024-02-29,1074.61,Approved
INV-2024-0013,PO-2024-0013,November Software,IT infrastructure setup,2024-01-21,352.5,Approved
INV-2024-0014,PO-2024-0014,Foxtrot Industries,Utilities payment,2024-01-21,296.48,Approved
INV-2024-0015,PO-2024-0015,Juliet Consulting,Consulting services,2024-03-09,559.78,Approved
INV-2024-0016,PO-2024-0016,Mike Construction,Office supplies and equipment,2024-02-24,571.81,Pending
INV-2024-0017,PO-2024-0017,Papa Materials,Equipment maintenance,2024-01-03,5267.04,Approved
INV-2024-0018,PO-2024-0018,Oscar Equipment,Equipment maintenance,2024-01-08,5056.12,Approved
INV-2024-0019,PO-2024-0019,Mike Construction,Consulting services,2024-03-25,5202.42,Approved
INV-2024-0020,PO-2024-0020,Oscar Equipment,Construction materials,2024-01-12,5220.39,Pending
INV-2024-0021,PO-2024-0021,Acme Corporation,Raw materials procurement,2024-03-01,349.97,Approved
INV-2024-0022,PO-2024-0022,Acme Corporation,Equipment maintenance,2024-03-18,742.66,Approved
INV-2024-0023,PO-2024-0023,Kilo Logistics,Marketing services,2024-03-28,2573.73,Pending
